0110121 (0, 0) (2, 1) (2, 3) False
0110122 (0, 0) (2, 1) (2, 3) False
0110131 (0, 0) (2, 1) (3, 0) False
0110132 (0, 0) (2, 1) (3, 0) False
0110141 (0, 0) (2, 1) (3, 1) False
0110142 (0, 0) (2, 1) (3, 1) False
0110151 (0, 0) (2, 1) (3, 2) False
0110152 (0, 0) (2, 1) (3, 2) False
0110161 (0, 0) (2, 1) (3, 3) False
0110162 (0, 0) (2, 1) (3, 3) False
0111011 (0, 0) (2, 2) (0, 0) True
0111012 (0, 0) (2, 2) (0, 0) True
0111021 (0, 0) (2, 2) (0, 1) False
0111022 (0, 0) (2, 2) (0, 1) False
0111031 (0, 0) (2, 2) (0, 2) False
0111032 (0, 0) (2, 2) (0, 2) False
0111041 (0, 0) (2, 2) (0, 3) False
0111042 (0, 0) (2, 2) (0, 3) False
0111051 (0, 0) (2, 2) (1, 0) False
0111052 (0, 0) (2, 2) (1, 0) False
0111061 (0, 0) (2, 2) (1, 1) True
0111062 (0, 0) (2, 2) (1, 1) True
0111071 (0, 0) (2, 2) (1, 2) False
0111072 (0, 0) (2, 2) (1, 2) False
0111081 (0, 0) (2, 2) (1, 3) False
0111082 (0, 0) (2, 2) (1, 3) False
0111091 (0, 0) (2, 2) (2, 0) False
0111092 (0, 0) (2, 2) (2, 0) False
0111101 (0, 0) (2, 2) (2, 1) False
0111102 (0, 0) (2, 2) (2, 1) False
0111111 (0, 0) (2, 2) (2, 2) False
0111112 (0, 0) (2, 2) (2, 2) False
0111121 (0, 0) (2, 2) (2, 3) False
0111122 (0, 0) (2, 2) (2, 3) False
0111131 (0, 0) (2, 2) (3, 0) False
0111132 (0, 0) (2, 2) (3, 0) False
0111141 (0, 0) (2, 2) (3, 1) False
0111142 (0, 0) (2, 2) (3, 1) False
0111151 (0, 0) (2, 2) (3, 2) False
0111152 (0, 0) (2, 2) (3, 2) False
0111161 (0, 0) (2, 2) (3, 3) False
0111162 (0, 0) (2, 2) (3, 3) False
0112011 (0, 0) (2, 3) (0, 0) False
0112012 (0, 0) (2, 3) (0, 0) False
0112021 (0, 0) (2, 3) (0, 1) False
0112022 (0, 0) (2, 3) (0, 1) False
0112031 (0, 0) (2, 3) (0, 2) False
0112032 (0, 0) (2, 3) (0, 2) False
0112041 (0, 0) (2, 3) (0, 3) False
0112042 (0, 0) (2, 3) (0, 3) False
0112051 (0, 0) (2, 3) (1, 0) False
0112052 (0, 0) (2, 3) (1, 0) False
0112061 (0, 0) (2, 3) (1, 1) False
0112062 (0, 0) (2, 3) (1, 1) False
0112071 (0, 0) (2, 3) (1, 2) False
0112072 (0, 0) (2, 3) (1, 2) False
0112081 (0, 0) (2, 3) (1, 3) False
0112082 (0, 0) (2, 3) (1, 3) False
0112091 (0, 0) (2, 3) (2, 0) False
0112092 (0, 0) (2, 3) (2, 0) False
0112101 (0, 0) (2, 3) (2, 1) False
0112102 (0, 0) (2, 3) (2, 1) False
0112111 (0, 0) (2, 3) (2, 2) False
0112112 (0, 0) (2, 3) (2, 2) False
0112121 (0, 0) (2, 3) (2, 3) False
0112122 (0, 0) (2, 3) (2, 3) False
0112131 (0, 0) (2, 3) (3, 0) False
0112132 (0, 0) (2, 3) (3, 0) False
0112141 (0, 0) (2, 3) (3, 1) False
0112142 (0, 0) (2, 3) (3, 1) False
0112151 (0, 0) (2, 3) (3, 2) False
0112152 (0, 0) (2, 3) (3, 2) False
0112161 (0, 0) (2, 3) (3, 3) False
0112162 (0, 0) (2, 3) (3, 3) False
0113011 (0, 0) (3, 0) (0, 0) True
0113012 (0, 0) (3, 0) (0, 0) True
0113021 (0, 0) (3, 0) (0, 1) False
0113022 (0, 0) (3, 0) (0, 1) False
0113031 (0, 0) (3, 0) (0, 2) False
0113032 (0, 0) (3, 0) (0, 2) False
0113041 (0, 0) (3, 0) (0, 3) False
0113042 (0, 0) (3, 0) (0, 3) False
0113051 (0, 0) (3, 0) (1, 0) True
0113052 (0, 0) (3, 0) (1, 0) True
0113061 (0, 0) (3, 0) (1, 1) False
0113062 (0, 0) (3, 0) (1, 1) False
0113071 (0, 0) (3, 0) (1, 2) False
0113072 (0, 0) (3, 0) (1, 2) False
0113081 (0, 0) (3, 0) (1, 3) False
0113082 (0, 0) (3, 0) (1, 3) False
0113091 (0, 0) (3, 0) (2, 0) True
0113092 (0, 0) (3, 0) (2, 0) True
0113101 (0, 0) (3, 0) (2, 1) False
0113102 (0, 0) (3, 0) (2, 1) False
0113111 (0, 0) (3, 0) (2, 2) False
0113112 (0, 0) (3, 0) (2, 2) False
0113121 (0, 0) (3, 0) (2, 3) False
0113122 (0, 0) (3, 0) (2, 3) False
0113131 (0, 0) (3, 0) (3, 0) False
0113132 (0, 0) (3, 0) (3, 0) False
0113141 (0, 0) (3, 0) (3, 1) False
0113142 (0, 0) (3, 0) (3, 1) False
0113151 (0, 0) (3, 0) (3, 2) False
0113152 (0, 0) (3, 0) (3, 2) False
0113161 (0, 0) (3, 0) (3, 3) False
0113162 (0, 0) (3, 0) (3, 3) False
0114011 (0, 0) (3, 1) (0, 0) False
0114012 (0, 0) (3, 1) (0, 0) False
0114021 (0, 0) (3, 1) (0, 1) False
0114022 (0, 0) (3, 1) (0, 1) False
0114031 (0, 0) (3, 1) (0, 2) False
0114032 (0, 0) (3, 1) (0, 2) False
0114041 (0, 0) (3, 1) (0, 3) False
0114042 (0, 0) (3, 1) (0, 3) False
0114051 (0, 0) (3, 1) (1, 0) False
0114052 (0, 0) (3, 1) (1, 0) False
0114061 (0, 0) (3, 1) (1, 1) False
0114062 (0, 0) (3, 1) (1, 1) False
0114071 (0, 0) (3, 1) (1, 2) False
0114072 (0, 0) (3, 1) (1, 2) False
0114081 (0, 0) (3, 1) (1, 3) False
0114082 (0, 0) (3, 1) (1, 3) False
0114091 (0, 0) (3, 1) (2, 0) False
0114092 (0, 0) (3, 1) (2, 0) False
0114101 (0, 0) (3, 1) (2, 1) False
0114102 (0, 0) (3, 1) (2, 1) False
0114111 (0, 0) (3, 1) (2, 2) False
0114112 (0, 0) (3, 1) (2, 2) False
0114121 (0, 0) (3, 1) (2, 3) False
0114122 (0, 0) (3, 1) (2, 3) False
0114131 (0, 0) (3, 1) (3, 0) False
0114132 (0, 0) (3, 1) (3, 0) False
0114141 (0, 0) (3, 1) (3, 1) False
0114142 (0, 0) (3, 1) (3, 1) False
0114151 (0, 0) (3, 1) (3, 2) False
0114152 (0, 0) (3, 1) (3, 2) False
0114161 (0, 0) (3, 1) (3, 3) False
0114162 (0, 0) (3, 1) (3, 3) False
0115011 (0, 0) (3, 2) (0, 0) False
0115012 (0, 0) (3, 2) (0, 0) False
0115021 (0, 0) (3, 2) (0, 1) False
0115022 (0, 0) (3, 2) (0, 1) False
0115031 (0, 0) (3, 2) (0, 2) False
0115032 (0, 0) (3, 2) (0, 2) False
0115041 (0, 0) (3, 2) (0, 3) False
0115042 (0, 0) (3, 2) (0, 3) False
0115051 (0, 0) (3, 2) (1, 0) False
0115052 (0, 0) (3, 2) (1, 0) False
0115061 (0, 0) (3, 2) (1, 1) False
0115062 (0, 0) (3, 2) (1, 1) False
0115071 (0, 0) (3, 2) (1, 2) False
0115072 (0, 0) (3, 2) (1, 2) False
0115081 (0, 0) (3, 2) (1, 3) False
0115082 (0, 0) (3, 2) (1, 3) False
0115091 (0, 0) (3, 2) (2, 0) False
0115092 (0, 0) (3, 2) (2, 0) False
0115101 (0, 0) (3, 2) (2, 1) False
0115102 (0, 0) (3, 2) (2, 1) False
0115111 (0, 0) (3, 2) (2, 2) False
0115112 (0, 0) (3, 2) (2, 2) False
0115121 (0, 0) (3, 2) (2, 3) False
0115122 (0, 0) (3, 2) (2, 3) False
0115131 (0, 0) (3, 2) (3, 0) False
0115132 (0, 0) (3, 2) (3, 0) False
0115141 (0, 0) (3, 2) (3, 1) False
0115142 (0, 0) (3, 2) (3, 1) False
0115151 (0, 0) (3, 2) (3, 2) False
0115152 (0, 0) (3, 2) (3, 2) False
0115161 (0, 0) (3, 2) (3, 3) False
0115162 (0, 0) (3, 2) (3, 3) False
0116011 (0, 0) (3, 3) (0, 0) True
0116012 (0, 0) (3, 3) (0, 0) True
0116021 (0, 0) (3, 3) (0, 1) False
0116022 (0, 0) (3, 3) (0, 1) False
0116031 (0, 0) (3, 3) (0, 2) False
0116032 (0, 0) (3, 3) (0, 2) False
0116041 (0, 0) (3, 3) (0, 3) False
0116042 (0, 0) (3, 3) (0, 3) False
0116051 (0, 0) (3, 3) (1, 0) False
0116052 (0, 0) (3, 3) (1, 0) False
0116061 (0, 0) (3, 3) (1, 1) True
0116062 (0, 0) (3, 3) (1, 1) True
0116071 (0, 0) (3, 3) (1, 2) False
0116072 (0, 0) (3, 3) (1, 2) False
0116081 (0, 0) (3, 3) (1, 3) False
0116082 (0, 0) (3, 3) (1, 3) False
0116091 (0, 0) (3, 3) (2, 0) False
0116092 (0, 0) (3, 3) (2, 0) False
0116101 (0, 0) (3, 3) (2, 1) False
0116102 (0, 0) (3, 3) (2, 1) False
0116111 (0, 0) (3, 3) (2, 2) True
0116112 (0, 0) (3, 3) (2, 2) True
0116121 (0, 0) (3, 3) (2, 3) False
0116122 (0, 0) (3, 3) (2, 3) False
0116131 (0, 0) (3, 3) (3, 0) False
0116132 (0, 0) (3, 3) (3, 0) False
0116141 (0, 0) (3, 3) (3, 1) False
0116142 (0, 0) (3, 3) (3, 1) False
0116151 (0, 0) (3, 3) (3, 2) False
0116152 (0, 0) (3, 3) (3, 2) False
0116161 (0, 0) (3, 3) (3, 3) False
0116162 (0, 0) (3, 3) (3, 3) False
0201011 (0, 1) (0, 0) (0, 0) True
0201012 (0, 1) (0, 0) (0, 0) True
0201021 (0, 1) (0, 0) (0, 1) True
0201022 (0, 1) (0, 0) (0, 1) True
0201031 (0, 1) (0, 0) (0, 2) False
0201032 (0, 1) (0, 0) (0, 2) False
0201041 (0, 1) (0, 0) (0, 3) False
0201042 (0, 1) (0, 0) (0, 3) False
0201051 (0, 1) (0, 0) (1, 0) False
0201052 (0, 1) (0, 0) (1, 0) False
0201061 (0, 1) (0, 0) (1, 1) False
0201062 (0, 1) (0, 0) (1, 1) False
0201071 (0, 1) (0, 0) (1, 2) False
0201072 (0, 1) (0, 0) (1, 2) False
0201081 (0, 1) (0, 0) (1, 3) False
0201082 (0, 1) (0, 0) (1, 3) False
0201091 (0, 1) (0, 0) (2, 0) False
0201092 (0, 1) (0, 0) (2, 0) False
0201101 (0, 1) (0, 0) (2, 1) False
0201102 (0, 1) (0, 0) (2, 1) False
0201111 (0, 1) (0, 0) (2, 2) False
0201112 (0, 1) (0, 0) (2, 2) False
0201121 (0, 1) (0, 0) (2, 3) False
0201122 (0, 1) (0, 0) (2, 3) False
0201131 (0, 1) (0, 0) (3, 0) False
0201132 (0, 1) (0, 0) (3, 0) False
0201141 (0, 1) (0, 0) (3, 1) False
0201142 (0, 1) (0, 0) (3, 1) False
0201151 (0, 1) (0, 0) (3, 2) False
0201152 (0, 1) (0, 0) (3, 2) False
0201161 (0, 1) (0, 0) (3, 3) False
0201162 (0, 1) (0, 0) (3, 3) False
0202011 (0, 1) (0, 1) (0, 0) False
0202012 (0, 1) (0, 1) (0, 0) False
0202021 (0, 1) (0, 1) (0, 1) True
0202022 (0, 1) (0, 1) (0, 1) True
0202031 (0, 1) (0, 1) (0, 2) False
0202032 (0, 1) (0, 1) (0, 2) False
0202041 (0, 1) (0, 1) (0, 3) False
0202042 (0, 1) (0, 1) (0, 3) False
0202051 (0, 1) (0, 1) (1, 0) False
0202052 (0, 1) (0, 1) (1, 0) False
0202061 (0, 1) (0, 1) (1, 1) False
0202062 (0, 1) (0, 1) (1, 1) False
0202071 (0, 1) (0, 1) (1, 2) False
0202072 (0, 1) (0, 1) (1, 2) False
0202081 (0, 1) (0, 1) (1, 3) False
0202082 (0, 1) (0, 1) (1, 3) False
0202091 (0, 1) (0, 1) (2, 0) False
0202092 (0, 1) (0, 1) (2, 0) False
0202101 (0, 1) (0, 1) (2, 1) False
0202102 (0, 1) (0, 1) (2, 1) False
0202111 (0, 1) (0, 1) (2, 2) False
0202112 (0, 1) (0, 1) (2, 2) False
0202121 (0, 1) (0, 1) (2, 3) False
0202122 (0, 1) (0, 1) (2, 3) False
0202131 (0, 1) (0, 1) (3, 0) False
0202132 (0, 1) (0, 1) (3, 0) False
0202141 (0, 1) (0, 1) (3, 1) False
0202142 (0, 1) (0, 1) (3, 1) False
0202151 (0, 1) (0, 1) (3, 2) False
0202152 (0, 1) (0, 1) (3, 2) False
0202161 (0, 1) (0, 1) (3, 3) False
0202162 (0, 1) (0, 1) (3, 3) False
0203011 (0, 1) (0, 2) (0, 0) False
0203012 (0, 1) (0, 2) (0, 0) False
0203021 (0, 1) (0, 2) (0, 1) True
0203022 (0, 1) (0, 2) (0, 1) True
0203031 (0, 1) (0, 2) (0, 2) True
0203032 (0, 1) (0, 2) (0, 2) True
0203041 (0, 1) (0, 2) (0, 3) False
